ADDRESS_ID, STREET, STREET_NUMBER, CITY, ZIP, COUNTRY
1, 'Augusta Deglava', 258, 'Rīga', 'LV-1046', 'Latvia'
2, '18. novembra', 55, 'Daugavpils', 'LV-2040', 'Latvia'
3, 'Ganibu', 997, 'Liepāja', 'LV-3015', 'Latvia'
4, 'Ieriķu', 370, 'Rīga', 'LV-1046', 'Latvia'
5, 'Krišjāņa Valdemāra', 548, 'Rīga', 'LV-1023', 'Latvia'
6, 'Brīvības', 474, 'Rīga', 'LV-1023', 'Latvia'
7, 'Uliha', 306, 'Liepāja', 'LV-3015', 'Latvia'
8, 'Vidzemes', 37, 'Daugavpils', 'LV-2023', 'Latvia'
9, 'Uliha', 283, 'Liepāja', 'LV-3015', 'Latvia'
10, 'Pulvera', 604, 'Liepāja', 'LV-3033', 'Latvia'
11, 'Pernavas', 444, 'Rīga', 'LV-1060', 'Latvia'
12, 'Aleksandra Čaka', 929, 'Rīga', 'LV-1023', 'Latvia'
13, 'Pulvera', 418, 'Liepāja', 'LV-3033', 'Latvia'
14, 'Vidzemes', 906, 'Daugavpils', 'LV-2023', 'Latvia'
15, 'Ganibu', 678, 'Liepāja', 'LV-3015', 'Latvia'
16, 'Aleksandra Čaka', 959, 'Rīga', 'LV-1023', 'Latvia'
17, 'Kaunas', 140, 'Daugavpils', 'LV-2040', 'Latvia'
18, 'Vidzemes', 568, 'Daugavpils', 'LV-2023', 'Latvia'
19, 'Ganibu', 81, 'Liepāja', 'LV-3015', 'Latvia'
20, 'Zirnu', 550, 'Liepāja', 'LV-3015', 'Latvia'
21, 'Bikernieku', 649, 'Rīga', 'LV-1060', 'Latvia'
22, '18. novembra', 864, 'Daugavpils', 'LV-2040', 'Latvia'
23, 'Dzelzavas', 70, 'Rīga', 'LV-1046', 'Latvia'
24, 'Bikernieku', 28, 'Rīga', 'LV-1060', 'Latvia'
25, 'Tallinas', 780, 'Rīga', 'LV-1060', 'Latvia'
26, 'Ganibu', 789, 'Liepāja', 'LV-3015', 'Latvia'
27, 'Krišjāņa Valdemāra', 47, 'Rīga', 'LV-1023', 'Latvia'
28, 'Bikernieku', 127, 'Rīga', 'LV-1060', 'Latvia'
29, 'Ieriķu', 521, 'Rīga', 'LV-1046', 'Latvia'
30, 'Hanzas', 372, 'Rīga', 'LV-1060', 'Latvia'
31, 'Brīvības', 317, 'Rīga', 'LV-1023', 'Latvia'
32, 'Aleksandra Čaka', 658, 'Rīga', 'LV-1023', 'Latvia'
33, 'Satekles', 306, 'Rīga', 'LV-1060', 'Latvia'
34, 'Tallinas', 660, 'Rīga', 'LV-1060', 'Latvia'
35, 'Ganibu', 126, 'Liepāja', 'LV-3015', 'Latvia'
36, 'Tallinas', 287, 'Rīga', 'LV-1060', 'Latvia'
37, 'Tallinas', 159, 'Rīga', 'LV-1060', 'Latvia'
38, '18. novembra', 605, 'Daugavpils', 'LV-2040', 'Latvia'
39, 'Pulvera', 152, 'Liepāja', 'LV-3033', 'Latvia'
40, 'Tallinas', 380, 'Rīga', 'LV-1060', 'Latvia'
41, 'Bikernieku', 283, 'Rīga', 'LV-1060', 'Latvia'
42, 'Krišjāņa Valdemāra', 789, 'Rīga', 'LV-1023', 'Latvia'
43, 'Tallinas', 808, 'Rīga', 'LV-1060', 'Latvia'
44, '18. novembra', 462, 'Daugavpils', 'LV-2040', 'Latvia'
45, '18. novembra', 705, 'Daugavpils', 'LV-2040', 'Latvia'
46, 'Ieriķu', 581, 'Rīga', 'LV-1046', 'Latvia'
47, 'Zirnu', 724, 'Liepāja', 'LV-3015', 'Latvia'
48, '18. novembra', 947, 'Daugavpils', 'LV-2040', 'Latvia'
49, 'Aleksandra Čaka', 223, 'Rīga', 'LV-1023', 'Latvia'
50, '18. novembra', 588, 'Daugavpils', 'LV-2040', 'Latvia'
51, 'Ieriķu', 144, 'Rīga', 'LV-1046', 'Latvia'
52, 'Kaunas', 144, 'Daugavpils', 'LV-2040', 'Latvia'
53, 'Pernavas', 929, 'Rīga', 'LV-1060', 'Latvia'
54, 'Bikernieku', 947, 'Rīga', 'LV-1060', 'Latvia'
55, 'Kaunas', 537, 'Daugavpils', 'LV-2040', 'Latvia'
56, 'Aleksandra Čaka', 401, 'Rīga', 'LV-1023', 'Latvia'
57, 'Tallinas', 798, 'Rīga', 'LV-1060', 'Latvia'
58, '18. novembra', 343, 'Daugavpils', 'LV-2040', 'Latvia'
59, 'Ganibu', 608, 'Liepāja', 'LV-3015', 'Latvia'
60, 'Tallinas', 699, 'Rīga', 'LV-1060', 'Latvia'
61, 'Valnu', 453, 'Daugavpils', 'LV-2040', 'Latvia'
62, 'Ieriķu', 835, 'Rīga', 'LV-1046', 'Latvia'
63, 'Ieriķu', 313, 'Rīga', 'LV-1046', 'Latvia'
64, 'Pernavas', 23, 'Rīga', 'LV-1060', 'Latvia'
65, 'Vidzemes', 155, 'Daugavpils', 'LV-2023', 'Latvia'
66, 'Krišjāņa Valdemāra', 602, 'Rīga', 'LV-1023', 'Latvia'
67, 'Ieriķu', 347, 'Rīga', 'LV-1046', 'Latvia'
68, 'Krišjāņa Valdemāra', 278, 'Rīga', 'LV-1023', 'Latvia'
69, 'Vidzemes', 128, 'Daugavpils', 'LV-2023', 'Latvia'
70, 'Augusta Deglava', 67, 'Rīga', 'LV-1046', 'Latvia'
71, 'Vidzemes', 286, 'Daugavpils', 'LV-2023', 'Latvia'
72, 'Vidzemes', 652, 'Daugavpils', 'LV-2023', 'Latvia'
73, 'Valnu', 540, 'Daugavpils', 'LV-2040', 'Latvia'
74, 'Augusta Deglava', 292, 'Rīga', 'LV-1046', 'Latvia'
75, 'Krišjāņa Valdemāra', 938, 'Rīga', 'LV-1023', 'Latvia'
76, 'Tallinas', 939, 'Rīga', 'LV-1060', 'Latvia'
77, 'Dzelzavas', 282, 'Rīga', 'LV-1046', 'Latvia'
78, 'Pernavas', 90, 'Rīga', 'LV-1060', 'Latvia'
79, 'Vidzemes', 281, 'Daugavpils', 'LV-2023', 'Latvia'
80, 'Aleksandra Čaka', 800, 'Rīga', 'LV-1023', 'Latvia'
81, 'Dzelzavas', 637, 'Rīga', 'LV-1046', 'Latvia'
82, 'Bikernieku', 823, 'Rīga', 'LV-1060', 'Latvia'
83, 'Augusta Deglava', 823, 'Rīga', 'LV-1046', 'Latvia'
84, 'Ieriķu', 480, 'Rīga', 'LV-1046', 'Latvia'
85, 'Vidzemes', 720, 'Daugavpils', 'LV-2023', 'Latvia'
86, 'Ieriķu', 731, 'Rīga', 'LV-1046', 'Latvia'
87, 'Tallinas', 437, 'Rīga', 'LV-1060', 'Latvia'
88, 'Uliha', 898, 'Liepāja', 'LV-3015', 'Latvia'
89, '18. novembra', 882, 'Daugavpils', 'LV-2040', 'Latvia'
90, 'Zirnu', 462, 'Liepāja', 'LV-3015', 'Latvia'
91, '18. novembra', 468, 'Daugavpils', 'LV-2040', 'Latvia'
92, 'Ieriķu', 997, 'Rīga', 'LV-1046', 'Latvia'
93, 'Augusta Deglava', 985, 'Rīga', 'LV-1046', 'Latvia'
94, 'Hanzas', 154, 'Rīga', 'LV-1060', 'Latvia'
95, '18. novembra', 624, 'Daugavpils', 'LV-2040', 'Latvia'
96, 'Ieriķu', 938, 'Rīga', 'LV-1046', 'Latvia'
97, '18. novembra', 219, 'Daugavpils', 'LV-2040', 'Latvia'
98, 'Hanzas', 41, 'Rīga', 'LV-1060', 'Latvia'
99, 'Vidzemes', 784, 'Daugavpils', 'LV-2023', 'Latvia'
100, 'Pulvera', 293, 'Liepāja', 'LV-3033', 'Latvia'
101, 'Ganibu', 789, 'Liepāja', 'LV-3015', 'Latvia'
102, 'Ieriķu', 257, 'Rīga', 'LV-1046', 'Latvia'
103, 'Pernavas', 721, 'Rīga', 'LV-1060', 'Latvia'
104, 'Pernavas', 495, 'Rīga', 'LV-1060', 'Latvia'
105, 'Tallinas', 396, 'Rīga', 'LV-1060', 'Latvia'
106, 'Ieriķu', 11, 'Rīga', 'LV-1046', 'Latvia'
107, 'Vidzemes', 454, 'Daugavpils', 'LV-2023', 'Latvia'
108, 'Dzelzavas', 272, 'Rīga', 'LV-1046', 'Latvia'
109, 'Uliha', 74, 'Liepāja', 'LV-3015', 'Latvia'
110, 'Pulvera', 455, 'Liepāja', 'LV-3033', 'Latvia'
111, 'Pulvera', 841, 'Liepāja', 'LV-3033', 'Latvia'
112, 'Augusta Deglava', 328, 'Rīga', 'LV-1046', 'Latvia'
113, 'Uliha', 188, 'Liepāja', 'LV-3015', 'Latvia'
114, 'Krišjāņa Valdemāra', 210, 'Rīga', 'LV-1023', 'Latvia'
115, 'Valnu', 956, 'Daugavpils', 'LV-2040', 'Latvia'
116, 'Ganibu', 987, 'Liepāja', 'LV-3015', 'Latvia'
117, '18. novembra', 438, 'Daugavpils', 'LV-2040', 'Latvia'
118, 'Ganibu', 847, 'Liepāja', 'LV-3015', 'Latvia'
119, 'Valnu', 278, 'Daugavpils', 'LV-2040', 'Latvia'
120, 'Tallinas', 54, 'Rīga', 'LV-1060', 'Latvia'
121, 'Satekles', 405, 'Rīga', 'LV-1060', 'Latvia'
122, 'Satekles', 710, 'Rīga', 'LV-1060', 'Latvia'
123, 'Hanzas', 429, 'Rīga', 'LV-1060', 'Latvia'
124, 'Dzelzavas', 500, 'Rīga', 'LV-1046', 'Latvia'
125, 'Valnu', 17, 'Daugavpils', 'LV-2040', 'Latvia'
126, 'Satekles', 67, 'Rīga', 'LV-1060', 'Latvia'
127, '18. novembra', 231, 'Daugavpils', 'LV-2040', 'Latvia'
128, 'Valnu', 444, 'Daugavpils', 'LV-2040', 'Latvia'
129, 'Aleksandra Čaka', 226, 'Rīga', 'LV-1023', 'Latvia'
130, 'Valnu', 735, 'Daugavpils', 'LV-2040', 'Latvia'
131, 'Dzelzavas', 208, 'Rīga', 'LV-1046', 'Latvia'
132, 'Ganibu', 214, 'Liepāja', 'LV-3015', 'Latvia'
133, 'Krišjāņa Valdemāra', 200, 'Rīga', 'LV-1023', 'Latvia'
134, 'Augusta Deglava', 357, 'Rīga', 'LV-1046', 'Latvia'
135, 'Pernavas', 580, 'Rīga', 'LV-1060', 'Latvia'
136, 'Bikernieku', 593, 'Rīga', 'LV-1060', 'Latvia'
137, 'Krišjāņa Valdemāra', 968, 'Rīga', 'LV-1023', 'Latvia'
138, 'Kaunas', 457, 'Daugavpils', 'LV-2040', 'Latvia'
139, 'Vidzemes', 827, 'Daugavpils', 'LV-2023', 'Latvia'
140, 'Krišjāņa Valdemāra', 124, 'Rīga', 'LV-1023', 'Latvia'
141, 'Tallinas', 825, 'Rīga', 'LV-1060', 'Latvia'
142, 'Dzelzavas', 578, 'Rīga', 'LV-1046', 'Latvia'
143, 'Augusta Deglava', 5, 'Rīga', 'LV-1046', 'Latvia'
144, 'Kaunas', 99, 'Daugavpils', 'LV-2040', 'Latvia'
145, 'Pernavas', 257, 'Rīga', 'LV-1060', 'Latvia'
146, 'Bikernieku', 476, 'Rīga', 'LV-1060', 'Latvia'
147, 'Satekles', 374, 'Rīga', 'LV-1060', 'Latvia'
148, 'Ganibu', 926, 'Liepāja', 'LV-3015', 'Latvia'
149, 'Hanzas', 141, 'Rīga', 'LV-1060', 'Latvia'
150, '18. novembra', 269, 'Daugavpils', 'LV-2040', 'Latvia'
151, 'Pulvera', 578, 'Liepāja', 'LV-3033', 'Latvia'
152, 'Satekles', 757, 'Rīga', 'LV-1060', 'Latvia'
153, 'Aleksandra Čaka', 639, 'Rīga', 'LV-1023', 'Latvia'
154, 'Vidzemes', 128, 'Daugavpils', 'LV-2023', 'Latvia'
155, 'Pulvera', 435, 'Liepāja', 'LV-3033', 'Latvia'
156, 'Bikernieku', 787, 'Rīga', 'LV-1060', 'Latvia'
157, 'Vidzemes', 830, 'Daugavpils', 'LV-2023', 'Latvia'
158, 'Ganibu', 958, 'Liepāja', 'LV-3015', 'Latvia'
159, 'Kaunas', 469, 'Daugavpils', 'LV-2040', 'Latvia'
160, 'Pernavas', 675, 'Rīga', 'LV-1060', 'Latvia'
